hotend_ist;hotend_soll;bed_ist;bed_soll
265,35;265;60,93;/100,00 
265,79;265;61,31;/100,00 
265,96;265;61,67;/100,00 
266,31;265;62,04;/100,00 
266,05;265;62,38;/100,00 
265,17;265;62,77;/100,00 
264,83;265;63,14;/100,00 
264,74;265;63,53;/100,00 
265,09;265;63,88;/100,00 
264,74;265;64,27;/100,00 
264,83;265;64,63;/100,00 
265,09;265;64,97;/100,00 
265,17;265;65,32;/100,00 
264,74;265;65,68;/100,00 
265,17;265;65,99;/100,00 
265;265;66,37;/100,00 
265,09;265;66,69;/100,00 
265,26;265;67,05;/100,00 
265,26;265;67,39;/100,00 
265,26;265;67,73;/100,00 
265,26;265;68,1;/100,00 
265,17;265;68,45;/100,00 
265,52;265;68,81;/100,00 
264,91;265;69,13;/100,00 
265;265;69,55;/100,00 
265,17;265;69,88;/100,00 
264,91;265;70,17;/100,00 
265,17;265;70,56;/100,00 
264,91;265;70,89;/100,00 
264,74;265;71,29;/100,00 
264,56;265;71,57;/100,00 
265;265;71,96;/100,00 
264,74;265;72,24;/100,00 
264,83;265;72,59;/100,00 
264,91;265;72,9;/100,00 
265,17;265;73,27;/100,00 
265;265;73,61;/100,00 
265,09;265;73,96;/100,00 
265,09;265;74,31;/100,00 
265,17;265;74,68;/100,00 
264,83;265;75,04;/100,00 
264,74;265;75,3;/100,00 
264,65;265;75,67;/100,00 
265,09;265;75,95;/100,00 
264,91;265;76,36;/100,00 
264,74;265;76,66;/100,00 
265;265;76,98;/100,00 
265;265;77,28;/100,00 
264,74;265;77,66;/100,00 
265;265;78,01;/100,00 
265,26;265;78,34;/100,00 
265,26;265;78,62;/100,00 
264,91;265;78,96;/100,00 
265,17;265;79,34;/100,00 
265;265;79,68;/100,00 
264,91;265;80,04;/100,00 
264,74;265;80,29;/100,00 
265;265;80,55;/100,00 
265,17;265;80,88;/100,00 
264,83;265;81,23;/100,00 
264,91;265;81,53;/100,00 
264,83;265;81,83;/100,00 
264,83;265;82,17;/100,00 
264,91;265;82,44;/100,00 
265;265;82,77;/100,00 
265;265;83,09;/100,00 
264,74;265;83,38;/100,00 
264,91;265;83,7;/100,00 
264,91;265;84,04;/100,00 
265,26;265;84,31;/100,00 
264,83;265;84,64;/100,00 
265,44;265;84,93;/100,00 
265,09;265;85,25;/100,00 
265,26;265;85,54;/100,00 
265,17;265;85,83;/100,00 
265,17;265;86,11;/100,00 
265,17;265;86,47;/100,00 
265;265;86,77;/100,00 
265,35;265;87,04;/100,00 
265,09;265;87,28;/100,00 
265,17;265;87,62;/100,00 
264,74;265;87,91;/100,00 
265;265;88,25;/100,00 
265;265;88,52;/100,00 
264,91;265;88,79;/100,00 
264,91;265;89,05;/100,00 
264,65;265;89,32;/100,00 
264,65;265;89,6;/100,00 
264,56;265;89,93;/100,00 
265,09;265;90,21;/100,00 
265,09;265;90,49;/100,00 
265;265;90,79;/100,00 
265;265;91,08;/100,00 
265;265;91,35;/100,00 
265;265;91,63;/100,00 
265,35;265;91,87;/100,00 
265;265;92,18;/100,00 
265,26;265;92,47;/100,00 
265,09;265;92,8;/100,00 
265,35;265;93,09;/100,00 
265,17;265;93,35;/100,00 
264,91;265;93,65;/100,00 
265,44;265;93,88;/100,00 
265;265;94,17;/100,00 
265,17;265;94,46;/100,00 
265;265;94,71;/100,00 
264,83;265;94,96;/100,00 
265,52;265;95,13;/100,00 
265;265;95,26;/100,00 
264,83;265;95,27;/100,00 
264,56;265;95,27;/100,00 
264,13;265;95,27;/100,00 
264,48;265;95,3;/100,00 
264,39;265;95,3;/100,00 
264,83;265;95,34;/100,00 
264,74;265;95,39;/100,00 
265,09;265;95,45;/100,00 
265,17;265;95,46;/100,00 
265,79;265;95,56;/100,00 
266,05;265;95,61;/100,00 
265,61;265;95,7;/100,00 
265,44;265;95,83;/100,00 
264,74;265;95,93;/100,00 
264,83;265;96,1;/100,00 
263,95;265;96,25;/100,00 
263,51;265;96,4;/100,00 
263,77;265;96,61;/100,00 
264,74;265;96,77;/100,00 
265;265;96,94;/100,00 
265,35;265;97,16;/100,00 
266,31;265;97,32;/100,00 
266,05;265;97,56;/100,00 
266,05;265;97,71;/100,00 
266,14;265;97,94;/100,00 
264,83;265;98,12;/100,00 
264,74;265;98,37;/100,00 
264,3;265;98,56;/100,00 
263,77;265;98,79;/100,00 
263,69;265;99,05;/100,00 
263,95;265;99,23;/100,00 
264,21;265;99,46;/100,00 
264,91;265;99,7;/100,00 
265,35;265;99,92;/100,00 
266,49;265;100,12;/100,00 
266,31;265;100,38;/100,00 
266,23;265;100,57;/100,00 
265,7;265;100,74;/100,00 
265,17;265;100,76;/100,00 
264,74;265;100,65;/100,00 
264,04;265;100,53;/100,00 
263,69;265;100,26;/100,00 
263,51;265;100,07;/100,00 
263,69;265;99,86;/100,00 
264,39;265;99,64;/100,00 
265,09;265;99,55;/100,00 
266,14;265;99,61;/100,00 
266,66;265;99,75;/100,00 
266,14;265;100;/100,00 
266,49;265;100,24;/100,00 
265,88;265;100,38;/100,00 
265;265;100,47;/100,00 
264,83;265;100,39;/100,00 
263,25;265;100,32;/100,00 
263,6;265;100,15;/100,00 
263,51;265;100,01;/100,00 
263,51;265;99,83;/100,00 
264,3;265;99,65;/100,00 
265,09;265;99,63;/100,00 
266,05;265;99,72;/100,00 
266,66;265;100;/100,00 
266,92;265;100,28;/100,00 
266,58;265;100,52;/100,00 
266,31;265;100,66;/100,00 
265,44;265;100,67;/100,00 
265;265;100,64;/100,00 
263,69;265;100,54;/100,00 
263,25;265;100,39;/100,00 
262,9;265;100,21;/100,00 
263,08;265;100,09;/100,00 
263,6;265;99,88;/100,00 
265;265;99,74;/100,00 
265,17;265;99,54;/100,00 
266,31;265;99,54;/100,00 
266,58;265;99,61;/100,00 
266,66;265;99,86;/100,00 
266,49;265;100,09;/100,00 
265,7;265;100,4;/100,00 
265,17;265;100,59;/100,00 
263,86;265;100,65;/100,00 
263,08;265;100,62;/100,00 
262,64;265;100,51;/100,00 
262,9;265;100,39;/100,00 
263,16;265;100,24;/100,00 
264,04;265;100,03;/100,00 
265;265;99,85;/100,00 
265,7;265;99,74;/100,00 
266,58;265;99,52;/100,00 
266,49;265;99,45;/100,00 
266,23;265;99,58;/100,00 
266,14;265;99,74;/100,00 
265;265;100,02;/100,00 
264,91;265;100,25;/100,00 
264,04;265;100,51;/100,00 
262,81;265;100,6;/100,00 
263,34;265;100,55;/100,00 
263,34;265;100,52;/100,00 
263,77;265;100,41;/100,00 
265;265;100,24;/100,00 
265,17;265;100,03;/100,00 
266,31;265;99,88;/100,00 
266,31;265;99,87;/100,00 
266,75;265;99,99;/100,00 
266,31;265;100,13;/100,00 
265,61;265;100,39;/100,00 
264,91;265;100,62;/100,00 
263,86;265;100,85;/100,00 
262,73;265;100,84;/100,00 
262,2;265;100,81;/100,00 
263,69;265;100,65;/100,00 
264,04;265;100,54;/100,00 
264,21;265;100,39;/100,00 
265;265;100,23;/100,00 
