hotend_ist;hotend_soll;bed_ist;bed_soll
21,16 ;0,00 ;20,70 ;/0,00 
21,01 ;0,00 ;20,78 ;/0,00 
21,09 ;0,00 ;20,74 ;/0,00 
21,16 ;0,00 ;20,74 ;/0,00 
21,20 ;0,00 ;20,74 ;/0,00 
20,97 ;0,00 ;20,55 ;/0,00 
21,16 ;0,00 ;20,70 ;/0,00 
21,16 ;0,00 ;20,55 ;/0,00 
21,24 ;0,00 ;20,59 ;/0,00 
21,05 ;0,00 ;20,55 ;/0,00 
21,20 ;0,00 ;20,62 ;/0,00 
21,20 ;0,00 ;20,62 ;/0,00 
21,09 ;0,00 ;20,59 ;/0,00 
21,20 ;0,00 ;20,62 ;/0,00 
21,09 ;0,00 ;20,74 ;/0,00 
21,16 ;0,00 ;20,51 ;/0,00 
21,27 ;0,00 ;20,55 ;/0,00 
21,27 ;0,00 ;20,39 ;/60,00 
21,09 ;0,00 ;20,62 ;/60,00 
21,16 ;0,00 ;20,59 ;/60,00 
21,20 ;0,00 ;20,78 ;/60,00 
21,24 ;0,00 ;20,98 ;/60,00 
21,12 ;0,00 ;21,09 ;/60,00 
21,24 ;0,00 ;21,64 ;/60,00 
21,16 ;0,00 ;21,99 ;/60,00 
21,20 ;0,00 ;22,50 ;/60,00 
21,20 ;0,00 ;23,01 ;/60,00 
21,12 ;0,00 ;23,63 ;/60,00 
21,05 ;0,00 ;24,30 ;/60,00 
21,16 ;0,00 ;24,84 ;/60,00 
21,01 ;0,00 ;25,51 ;/60,00 
21,20 ;0,00 ;25,82 ;/60,00 
21,20 ;0,00 ;26,16 ;/60,00 
21,12 ;0,00 ;26,56 ;/60,00 
21,20 ;0,00 ;26,87 ;/60,00 
21,12 ;0,00 ;27,19 ;/60,00 
21,16 ;0,00 ;27,84 ;/60,00 
21,27 ;0,00 ;28,27 ;/60,00 
21,16 ;0,00 ;28,72 ;/60,00 
20,90 ;0,00 ;29,01 ;/60,00 
21,09 ;0,00 ;29,63 ;/60,00 
21,20 ;0,00 ;29,86 ;/60,00 
21,16 ;0,00 ;30,31 ;/60,00 
21,27 ;0,00 ;30,65 ;/60,00 
21,27 ;0,00 ;31,09 ;/60,00 
21,20 ;0,00 ;31,43 ;/60,00 
21,39 ;0,00 ;31,80 ;/60,00 
21,24 ;0,00 ;32,24 ;/60,00 
21,31 ;0,00 ;32,50 ;/60,00 
21,27 ;0,00 ;32,97 ;/60,00 
21,27 ;0,00 ;33,33 ;/60,00 
21,35 ;0,00 ;33,80 ;/60,00 
21,35 ;0,00 ;34,24 ;/60,00 
21,35 ;0,00 ;34,58 ;/60,00 
21,31 ;0,00 ;34,95 ;/60,00 
21,46 ;0,00 ;35,33 ;/60,00 
21,42 ;0,00 ;35,79 ;/60,00 
21,57 ;0,00 ;35,98 ;/60,00 
21,57 ;0,00 ;36,33 ;/60,00 
21,46 ;0,00 ;36,67 ;/60,00 
21,72 ;0,00 ;37,10 ;/60,00 
21,65 ;0,00 ;37,42 ;/60,00 
21,72 ;0,00 ;37,73 ;/60,00 
21,76 ;0,00 ;38,29 ;/60,00 
21,69 ;0,00 ;38,56 ;/60,00 
